,source,target,value,cycle
0,DONOR CONTRIBUTIONS | 2022,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE | 2022,151325986.0,2022
1,DONOR CONTRIBUTIONS | 2024,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE | 2024,129020950.0,2024
2,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE | 2022,SAVE AMERICA | 2022,53925758.49,2022
3,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE | 2022,MAKE AMERICA GREAT AGAIN PAC | 2022,5554687.77,2022
4,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE | 2022,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",3817780.66,2022
5,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE | 2024,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",72007996.4,2024
6,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE | 2024,SAVE AMERICA | 2024,8864398.59,2024
7,DONOR CONTRIBUTIONS | 2022,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,29340023.0,2022
8,CASH ON HAND FROM 2020 DONORS,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,59876405.0,2022
9,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,SAVE AMERICA | 2022,53848159.42,2022
10,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,MAKE AMERICA GREAT AGAIN PAC | 2022,5800133.9399999995,2022
11,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,MAKE AMERICA GREAT AGAIN PAC | 2022,2624404.29,2022
12,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,SAVE AMERICA | 2024,1022982.15,2024
13,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",LEGAL FEES | 2024,4598734.550000001,2024
14,DONOR CONTRIBUTIONS | 2022,SAVE AMERICA | 2022,1176252.0,2022
15,SAVE AMERICA | 2022,LEGAL FEES | 2022,16708721.85,2022
16,SAVE AMERICA | 2024,LEGAL FEES | 2024,47298633.279999994,2024
17,SAVE AMERICA | 2022,MAKE AMERICA GREAT AGAIN INC.,60004750.0,2022
18,SAVE AMERICA | 2024,MAKE AMERICA GREAT AGAIN PAC | 2024,11750000.0,2024
19,MAKE AMERICA GREAT AGAIN PAC | 2022,LEGAL FEES | 2022,15661508.08,2022
20,MAKE AMERICA GREAT AGAIN PAC | 2024,LEGAL FEES | 2024,3915674.22,2024
21,MAKE AMERICA GREAT AGAIN INC.,SAVE AMERICA | 2024,42250000.0,2024
